No.,IPV,Time,Source,Destination,Source Port,Destination Port,Length,Protocol,Human
2,4,0.133314,3232281142,2902291551,49445,443,55,TCP,0
3,4,0.13944,2902291551,3232281142,443,49445,66,TCP,0
5,4,0.204968,3232281136,4294967295,60048,3289,56,UDP,0
7,6,0.77774,1249755487,3232281142,443,49196,139,TLSv1.2,1
8,6,0.77774,1249755487,3232281142,443,49196,85,TLSv1.2,1
9,4,0.77774,1249755487,3232281142,443,49196,93,TLSv1.2,1
10,6,0.777844,3232281142,1249755487,49196,443,54,TCP,0
11,4,0.77805,3232281142,1249755487,49196,443,89,TLSv1.2,1
12,6,0.778084,3232281142,1249755487,49196,443,93,TLSv1.2,1
13,4,0.784545,1249755487,3232281142,443,49196,54,TCP,0
14,4,0.784545,1249755487,3232281142,443,49196,54,TCP,0
15,4,0.794483,3232281142,1249755487,49195,443,284,TLSv1.2,1
16,6,0.794526,3232281142,1249755487,49195,443,93,TLSv1.2,1
17,6,0.800719,1249755487,3232281142,443,49195,54,TCP,0
18,6,0.800719,1249755487,3232281142,443,49195,93,TLSv1.2,1
19,6,0.841252,3232281142,1249755487,49195,443,54,TCP,0
20,4,0.90171,1249755487,3232281142,443,49195,123,TLSv1.2,1
21,4,0.90171,1249755487,3232281142,443,49195,85,TLSv1.2,1
22,4,0.901807,3232281142,1249755487,49195,443,54,TCP,0
23,6,0.903084,3232281142,1249755487,49196,443,1466,TCP,0
24,4,0.903084,3232281142,1249755487,49196,443,1466,TCP,0
25,6,0.903084,3232281142,1249755487,49196,443,191,TLSv1.2,1
26,4,0.90596,1249755487,3232281142,443,49195,93,TLSv1.2,1
27,6,0.906386,3232281142,1249755487,49195,443,93,TLSv1.2,1
28,4,0.909144,1249755487,3232281142,443,49196,54,TCP,0
29,6,0.909144,1249755487,3232281142,443,49196,54,TCP,0
30,6,0.909144,1249755487,3232281142,443,49196,54,TCP,0
31,6,0.917087,1249755487,3232281142,443,49195,54,TCP,0
32,6,1.006532,1249755487,3232281142,443,49196,121,TLSv1.2,1
33,6,1.006532,1249755487,3232281142,443,49196,103,TLSv1.2,1
34,4,1.006588,3232281142,1249755487,49196,443,54,TCP,0
38,4,1.742761,0,4294967295,68,67,590,DHCP,0
39,4,1.742761,3232281089,4294967295,67,68,590,DHCP,0
40,4,2.12483,2354213146,3232281142,443,65140,79,TLSv1.2,1
41,6,2.125582,3232281142,2354213146,65140,443,83,TLSv1.2,1
42,6,2.21556,2354213146,3232281142,443,65140,54,TCP,0
43,6,2.764926,3232281112,3232281343,41085,15600,77,UDP,0
48,4,3.275037,3232281142,3512060521,49338,443,1404,TLSv1.2,0
49,4,3.275101,3232281142,3512060521,49338,443,93,TLSv1.2,1
54,6,3.282083,3512060521,3232281142,443,49338,54,TCP,0
55,6,3.282083,3512060521,3232281142,443,49338,54,TCP,0
56,4,3.282083,3512060521,3232281142,443,49338,93,TLSv1.2,1
57,6,3.282784,3232281142,3512060521,49338,443,1466,TLSv1.2,1
58,6,3.282784,3232281142,3512060521,49338,443,147,TLSv1.2,1
59,4,3.289538,3512060521,3232281142,443,49338,54,TCP,0
60,4,3.300385,3232281142,3512060521,49338,443,1453,TLSv1.2,0
61,4,3.309705,3512060521,3232281142,443,49338,343,TLSv1.2,1
62,6,3.309705,3512060521,3232281142,443,49338,108,TLSv1.2,1
63,6,3.309847,3232281142,3512060521,49338,443,54,TCP,0
64,6,3.310974,3512060521,3232281142,443,49338,85,TLSv1.2,1
65,6,3.310974,3512060521,3232281142,443,49338,93,TLSv1.2,1
66,4,3.311034,3232281142,3512060521,49338,443,54,TCP,0
67,6,3.311682,3232281142,3512060521,49338,443,93,TLSv1.2,1
68,6,3.312555,3232281142,3512060521,49338,443,89,TLSv1.2,1
69,6,3.318444,3512060521,3232281142,443,49338,54,TCP,0
70,6,3.335486,3512060521,3232281142,443,49338,314,TLSv1.2,1
71,4,3.335486,3512060521,3232281142,443,49338,118,TLSv1.2,1
72,6,3.335486,3512060521,3232281142,443,49338,85,TLSv1.2,1
73,6,3.335486,3512060521,3232281142,443,49338,93,TLSv1.2,1
74,4,3.335689,3232281142,3512060521,49338,443,54,TCP,0
75,6,3.337247,3232281142,3512060521,49338,443,93,TLSv1.2,1
76,6,3.340133,3512060521,3232281142,443,49338,438,TLSv1.2,1
77,4,3.340133,3512060521,3232281142,443,49338,1466,TLSv1.2,1
78,4,3.340133,3512060521,3232281142,443,49338,1466,TLSv1.2,1
79,6,3.340133,3512060521,3232281142,443,49338,85,TLSv1.2,1
80,4,3.340133,3512060521,3232281142,443,49338,217,TLSv1.2,1
81,4,3.340212,3232281142,3512060521,49338,443,54,TCP,0
82,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
83,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
84,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
85,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
86,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
87,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
88,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
89,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
90,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
91,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
92,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
93,4,3.342493,3512060521,3232281142,443,49338,1179,TLSv1.2,1
94,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
95,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
96,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
97,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
98,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
99,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
100,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
101,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
102,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
103,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
104,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
105,4,3.342493,3512060521,3232281142,443,49338,1179,TLSv1.2,1
106,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
107,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
108,4,3.342493,3512060521,3232281142,443,49338,638,TLSv1.2,1
109,6,3.342493,3512060521,3232281142,443,49338,85,TLSv1.2,1
110,4,3.342804,3232281142,3512060521,49338,443,54,TCP,0
111,6,3.347598,3512060521,3232281142,443,49338,54,TCP,0
112,4,3.732052,60984449,3232281142,443,49604,78,TLSv1.2,1
113,4,3.732052,60984449,3232281142,443,49604,54,TCP,0
114,4,3.732159,3232281142,60984449,49604,443,54,TCP,0
116,4,3.850671,34740242,3232281142,80,50590,54,TCP,0
117,4,3.850671,34740242,3232281142,80,50593,54,TCP,0
118,4,3.850671,34740242,3232281142,80,50591,54,TCP,0
119,4,3.850743,3232281142,34740242,50590,80,54,TCP,0
120,4,3.850815,3232281142,34740242,50593,80,54,TCP,0
121,6,3.850824,3232281142,34740242,50591,80,54,TCP,0
122,4,3.859619,34740242,3232281142,80,50592,54,TCP,0
123,4,3.859652,3232281142,34740242,50592,80,54,TCP,0
124,6,4.362804,2817227836,3232281142,443,49644,78,TLSv1.2,1
125,4,4.362804,2817227836,3232281142,443,49644,54,TCP,0
126,6,4.362901,3232281142,2817227836,49644,443,54,TCP,0
127,6,4.495666,2817227836,3232281142,443,49649,78,TLSv1.2,1
128,6,4.495666,2817227836,3232281142,443,49649,54,TCP,0
129,4,4.495742,3232281142,2817227836,49649,443,54,TCP,0
130,6,4.540755,2817227836,3232281142,443,49650,78,TLSv1.2,1
131,6,4.540755,2817227836,3232281142,443,49650,54,TCP,0
132,4,4.541008,3232281142,2817227836,49650,443,54,TCP,0
133,4,4.727076,388301171,3232281142,443,50605,85,TLSv1.2,0
134,6,4.727076,388301171,3232281142,443,50605,54,TCP,0
135,6,4.727133,3232281142,388301171,50605,443,54,TCP,0
136,4,4.727171,3232281142,388301171,50605,443,54,TCP,0
137,4,4.966237,399010191,3232281142,443,50604,85,TLSv1.2,0
138,6,4.966237,399010191,3232281142,443,50604,54,TCP,0
139,4,4.966372,3232281142,399010191,50604,443,54,TCP,0
140,4,4.966473,3232281142,399010191,50604,443,54,TCP,0
144,6,5.69127,3232281112,4026531834,35247,15600,77,UDP,0
