ipv,deltatime,src,dst,srcport,dstport,length,proto,human
4,0.000000,3232281142,2902291551,49445,443,55,6,0
4,0.000000,2902291551,3232281142,443,49445,66,6,0
4,0.000000,3232281136,4294967295,60048,3289,56,17,0
4,0.000000,1249755487,3232281142,443,49196,139,6,1
4,0.000000,1249755487,3232281142,443,49196,85,6,1
4,0.000000,1249755487,3232281142,443,49196,93,6,1
4,0.000000,3232281142,1249755487,49196,443,54,6,0
4,0.000206,3232281142,1249755487,49196,443,89,6,1
4,0.000034,3232281142,1249755487,49196,443,93,6,1
4,0.006805,1249755487,3232281142,443,49196,54,6,0
4,0.000000,1249755487,3232281142,443,49196,54,6,0
4,0.000000,3232281142,1249755487,49195,443,284,6,1
4,0.000043,3232281142,1249755487,49195,443,93,6,1
4,0.000000,1249755487,3232281142,443,49195,54,6,0
4,0.000000,1249755487,3232281142,443,49195,93,6,1
4,0.046726,3232281142,1249755487,49195,443,54,6,0
4,0.100991,1249755487,3232281142,443,49195,123,6,1
4,0.000000,1249755487,3232281142,443,49195,85,6,1
4,0.060555,3232281142,1249755487,49195,443,54,6,0
4,0.125000,3232281142,1249755487,49196,443,1466,6,0
4,0.000000,3232281142,1249755487,49196,443,1466,6,0
4,0.000000,3232281142,1249755487,49196,443,191,6,1
4,0.004250,1249755487,3232281142,443,49195,93,6,1
4,0.004579,3232281142,1249755487,49195,443,93,6,1
4,0.124599,1249755487,3232281142,443,49196,54,6,0
4,0.000000,1249755487,3232281142,443,49196,54,6,0
4,0.000000,1249755487,3232281142,443,49196,54,6,0
4,0.011127,1249755487,3232281142,443,49195,54,6,0
4,0.097388,1249755487,3232281142,443,49196,121,6,1
4,0.000000,1249755487,3232281142,443,49196,103,6,1
4,0.103504,3232281142,1249755487,49196,443,54,6,0
4,0.000000,0,4294967295,68,67,590,17,0
4,0.000000,3232281089,4294967295,67,68,590,17,0
4,0.000000,2354213146,3232281142,443,65140,79,6,1
4,0.000000,3232281142,2354213146,65140,443,83,6,1
4,0.090730,2354213146,3232281142,443,65140,54,6,0
4,0.000000,3232281112,3232281343,41085,15600,77,17,0
4,0.000000,3232281142,3512060521,49338,443,1404,6,0
