No.,Time,Source,Destination,Protocol,Length,Info,Source Port,Destination Port
2,0.133314,192.168.178.54,172.253.116.95,TCP,55,49445  >  443 [ACK] Seq=1 Ack=1 Win=507 Len=1 [TCP segment of a reassembled PDU],49445,443
3,0.13944,172.253.116.95,192.168.178.54,TCP,66,443  >  49445 [ACK] Seq=1 Ack=2 Win=278 Len=0 SLE=1 SRE=2,443,49445
5,0.204968,192.168.178.48,255.255.255.255,UDP,56,60048  >  3289 Len=14,60048,3289
7,0.77774,74.125.193.95,192.168.178.54,TLSv1.2,139,Application Data,443,49196
8,0.77774,74.125.193.95,192.168.178.54,TLSv1.2,85,Application Data,443,49196
9,0.77774,74.125.193.95,192.168.178.54,TLSv1.2,93,Application Data,443,49196
10,0.777844,192.168.178.54,74.125.193.95,TCP,54,49196  >  443 [ACK] Seq=1 Ack=156 Win=509 Len=0,49196,443
11,0.77805,192.168.178.54,74.125.193.95,TLSv1.2,89,Application Data,49196,443
12,0.778084,192.168.178.54,74.125.193.95,TLSv1.2,93,Application Data,49196,443
13,0.784545,74.125.193.95,192.168.178.54,TCP,54,443  >  49196 [ACK] Seq=156 Ack=36 Win=430 Len=0,443,49196
14,0.784545,74.125.193.95,192.168.178.54,TCP,54,443  >  49196 [ACK] Seq=156 Ack=75 Win=430 Len=0,443,49196
15,0.794483,192.168.178.54,74.125.193.95,TLSv1.2,284,Application Data,49195,443
16,0.794526,192.168.178.54,74.125.193.95,TLSv1.2,93,Application Data,49195,443
17,0.800719,74.125.193.95,192.168.178.54,TCP,54,443  >  49195 [ACK] Seq=1 Ack=270 Win=322 Len=0,443,49195
18,0.800719,74.125.193.95,192.168.178.54,TLSv1.2,93,Application Data,443,49195
19,0.841252,192.168.178.54,74.125.193.95,TCP,54,49195  >  443 [ACK] Seq=270 Ack=40 Win=512 Len=0,49195,443
20,0.90171,74.125.193.95,192.168.178.54,TLSv1.2,123,Application Data,443,49195
21,0.90171,74.125.193.95,192.168.178.54,TLSv1.2,85,Application Data,443,49195
22,0.901807,192.168.178.54,74.125.193.95,TCP,54,49195  >  443 [ACK] Seq=270 Ack=140 Win=511 Len=0,49195,443
23,0.903084,192.168.178.54,74.125.193.95,TCP,1466,49196  >  443 [ACK] Seq=75 Ack=156 Win=509 Len=1412 [TCP segment of a reassembled PDU],49196,443
24,0.903084,192.168.178.54,74.125.193.95,TCP,1466,49196  >  443 [ACK] Seq=1487 Ack=156 Win=509 Len=1412 [TCP segment of a reassembled PDU],49196,443
25,0.903084,192.168.178.54,74.125.193.95,TLSv1.2,191,Application Data,49196,443
26,0.90596,74.125.193.95,192.168.178.54,TLSv1.2,93,Application Data,443,49195
27,0.906386,192.168.178.54,74.125.193.95,TLSv1.2,93,Application Data,49195,443
28,0.909144,74.125.193.95,192.168.178.54,TCP,54,443  >  49196 [ACK] Seq=156 Ack=1487 Win=441 Len=0,443,49196
29,0.909144,74.125.193.95,192.168.178.54,TCP,54,443  >  49196 [ACK] Seq=156 Ack=2899 Win=452 Len=0,443,49196
30,0.909144,74.125.193.95,192.168.178.54,TCP,54,443  >  49196 [ACK] Seq=156 Ack=3036 Win=463 Len=0,443,49196
31,0.917087,74.125.193.95,192.168.178.54,TCP,54,443  >  49195 [ACK] Seq=179 Ack=309 Win=322 Len=0,443,49195
32,1.006532,74.125.193.95,192.168.178.54,TLSv1.2,121,Application Data,443,49196
33,1.006532,74.125.193.95,192.168.178.54,TLSv1.2,103,Application Data,443,49196
34,1.006588,192.168.178.54,74.125.193.95,TCP,54,49196  >  443 [ACK] Seq=3036 Ack=272 Win=509 Len=0,49196,443
38,1.742761,0.0.0.0,255.255.255.255,DHCP,590,DHCP Discover - Transaction ID 0x66ecf19c,68,67
39,1.742761,192.168.178.1,255.255.255.255,DHCP,590,DHCP Offer    - Transaction ID 0x66ecf19c,67,68
40,2.12483,140.82.113.26,192.168.178.54,TLSv1.2,79,Application Data,443,65140
41,2.125582,192.168.178.54,140.82.113.26,TLSv1.2,83,Application Data,65140,443
42,2.21556,140.82.113.26,192.168.178.54,TCP,54,443  >  65140 [ACK] Seq=26 Ack=30 Win=70 Len=0,443,65140
43,2.764926,192.168.178.24,192.168.178.255,UDP,77,41085  >  15600 Len=35,41085,15600
48,3.275037,192.168.178.54,209.85.202.105,TLSv1.2,1404,"Application Data, Application Data",49338,443
49,3.275101,192.168.178.54,209.85.202.105,TLSv1.2,93,Application Data,49338,443
54,3.282083,209.85.202.105,192.168.178.54,TCP,54,443  >  49338 [ACK] Seq=1 Ack=1351 Win=6419 Len=0,443,49338
55,3.282083,209.85.202.105,192.168.178.54,TCP,54,443  >  49338 [ACK] Seq=1 Ack=1390 Win=6419 Len=0,443,49338
56,3.282083,209.85.202.105,192.168.178.54,TLSv1.2,93,Application Data,443,49338
57,3.282784,192.168.178.54,209.85.202.105,TLSv1.2,1466,Application Data,49338,443
58,3.282784,192.168.178.54,209.85.202.105,TLSv1.2,147,Application Data,49338,443
59,3.289538,209.85.202.105,192.168.178.54,TCP,54,443  >  49338 [ACK] Seq=40 Ack=2895 Win=6430 Len=0,443,49338
60,3.300385,192.168.178.54,209.85.202.105,TLSv1.2,1453,"Application Data, Application Data",49338,443
61,3.309705,209.85.202.105,192.168.178.54,TLSv1.2,343,Application Data,443,49338
62,3.309705,209.85.202.105,192.168.178.54,TLSv1.2,108,Application Data,443,49338
63,3.309847,192.168.178.54,209.85.202.105,TCP,54,49338  >  443 [ACK] Seq=4294 Ack=383 Win=2469 Len=0,49338,443
64,3.310974,209.85.202.105,192.168.178.54,TLSv1.2,85,Application Data,443,49338
65,3.310974,209.85.202.105,192.168.178.54,TLSv1.2,93,Application Data,443,49338
66,3.311034,192.168.178.54,209.85.202.105,TCP,54,49338  >  443 [ACK] Seq=4294 Ack=453 Win=2469 Len=0,49338,443
67,3.311682,192.168.178.54,209.85.202.105,TLSv1.2,93,Application Data,49338,443
68,3.312555,192.168.178.54,209.85.202.105,TLSv1.2,89,Application Data,49338,443
69,3.318444,209.85.202.105,192.168.178.54,TCP,54,443  >  49338 [ACK] Seq=453 Ack=4368 Win=6441 Len=0,443,49338
70,3.335486,209.85.202.105,192.168.178.54,TLSv1.2,314,Application Data,443,49338
71,3.335486,209.85.202.105,192.168.178.54,TLSv1.2,118,Application Data,443,49338
72,3.335486,209.85.202.105,192.168.178.54,TLSv1.2,85,Application Data,443,49338
73,3.335486,209.85.202.105,192.168.178.54,TLSv1.2,93,Application Data,443,49338
74,3.335689,192.168.178.54,209.85.202.105,TCP,54,49338  >  443 [ACK] Seq=4368 Ack=847 Win=2467 Len=0,49338,443
75,3.337247,192.168.178.54,209.85.202.105,TLSv1.2,93,Application Data,49338,443
76,3.340133,209.85.202.105,192.168.178.54,TLSv1.2,438,Application Data,443,49338
77,3.340133,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
78,3.340133,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
79,3.340133,209.85.202.105,192.168.178.54,TLSv1.2,85,Application Data,443,49338
80,3.340133,209.85.202.105,192.168.178.54,TLSv1.2,217,Application Data,443,49338
81,3.340212,192.168.178.54,209.85.202.105,TCP,54,49338  >  443 [ACK] Seq=4407 Ack=4249 Win=2471 Len=0,49338,443
82,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
83,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
84,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
85,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
86,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
87,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
88,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
89,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
90,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
