No.,Time,Source,Destination,Protocol,Length,Info,Source Port,Destination Port,Human
2,0.133314,3232281142,2902291551,TCP,55,49445  >  443 [ACK] Seq=1 Ack=1 Win=507 Len=1 [TCP segment of a reassembled PDU],49445,443,0
3,0.13944,2902291551,3232281142,TCP,66,443  >  49445 [ACK] Seq=1 Ack=2 Win=278 Len=0 SLE=1 SRE=2,443,49445,0
5,0.204968,3232281136,4294967295,UDP,56,60048  >  3289 Len=14,60048,3289,0
7,0.77774,1249755487,3232281142,TLSv1.2,139,Application Data,443,49196,1
8,0.77774,1249755487,3232281142,TLSv1.2,85,Application Data,443,49196,1
9,0.77774,1249755487,3232281142,TLSv1.2,93,Application Data,443,49196,1
10,0.777844,3232281142,1249755487,TCP,54,49196  >  443 [ACK] Seq=1 Ack=156 Win=509 Len=0,49196,443,0
11,0.77805,3232281142,1249755487,TLSv1.2,89,Application Data,49196,443,1
12,0.778084,3232281142,1249755487,TLSv1.2,93,Application Data,49196,443,1
13,0.784545,1249755487,3232281142,TCP,54,443  >  49196 [ACK] Seq=156 Ack=36 Win=430 Len=0,443,49196,0
14,0.784545,1249755487,3232281142,TCP,54,443  >  49196 [ACK] Seq=156 Ack=75 Win=430 Len=0,443,49196,0
15,0.794483,3232281142,1249755487,TLSv1.2,284,Application Data,49195,443,1
16,0.794526,3232281142,1249755487,TLSv1.2,93,Application Data,49195,443,1
17,0.800719,1249755487,3232281142,TCP,54,443  >  49195 [ACK] Seq=1 Ack=270 Win=322 Len=0,443,49195,0
18,0.800719,1249755487,3232281142,TLSv1.2,93,Application Data,443,49195,1
19,0.841252,3232281142,1249755487,TCP,54,49195  >  443 [ACK] Seq=270 Ack=40 Win=512 Len=0,49195,443,0
20,0.90171,1249755487,3232281142,TLSv1.2,123,Application Data,443,49195,1
21,0.90171,1249755487,3232281142,TLSv1.2,85,Application Data,443,49195,1
22,0.901807,3232281142,1249755487,TCP,54,49195  >  443 [ACK] Seq=270 Ack=140 Win=511 Len=0,49195,443,0
23,0.903084,3232281142,1249755487,TCP,1466,49196  >  443 [ACK] Seq=75 Ack=156 Win=509 Len=1412 [TCP segment of a reassembled PDU],49196,443,0
24,0.903084,3232281142,1249755487,TCP,1466,49196  >  443 [ACK] Seq=1487 Ack=156 Win=509 Len=1412 [TCP segment of a reassembled PDU],49196,443,0
25,0.903084,3232281142,1249755487,TLSv1.2,191,Application Data,49196,443,1
26,0.90596,1249755487,3232281142,TLSv1.2,93,Application Data,443,49195,1
27,0.906386,3232281142,1249755487,TLSv1.2,93,Application Data,49195,443,1
28,0.909144,1249755487,3232281142,TCP,54,443  >  49196 [ACK] Seq=156 Ack=1487 Win=441 Len=0,443,49196,0
29,0.909144,1249755487,3232281142,TCP,54,443  >  49196 [ACK] Seq=156 Ack=2899 Win=452 Len=0,443,49196,0
30,0.909144,1249755487,3232281142,TCP,54,443  >  49196 [ACK] Seq=156 Ack=3036 Win=463 Len=0,443,49196,0
31,0.917087,1249755487,3232281142,TCP,54,443  >  49195 [ACK] Seq=179 Ack=309 Win=322 Len=0,443,49195,0
32,1.006532,1249755487,3232281142,TLSv1.2,121,Application Data,443,49196,1
33,1.006532,1249755487,3232281142,TLSv1.2,103,Application Data,443,49196,1
34,1.006588,3232281142,1249755487,TCP,54,49196  >  443 [ACK] Seq=3036 Ack=272 Win=509 Len=0,49196,443,0
38,1.742761,0,4294967295,DHCP,590,DHCP Discover - Transaction ID 0x66ecf19c,68,67,0
39,1.742761,3232281089,4294967295,DHCP,590,DHCP Offer    - Transaction ID 0x66ecf19c,67,68,0
40,2.12483,2354213146,3232281142,TLSv1.2,79,Application Data,443,65140,1
41,2.125582,3232281142,2354213146,TLSv1.2,83,Application Data,65140,443,1
42,2.21556,2354213146,3232281142,TCP,54,443  >  65140 [ACK] Seq=26 Ack=30 Win=70 Len=0,443,65140,0
43,2.764926,3232281112,3232281343,UDP,77,41085  >  15600 Len=35,41085,15600,0
48,3.275037,3232281142,3512060521,TLSv1.2,1404,"Application Data, Application Data",49338,443,0
49,3.275101,3232281142,3512060521,TLSv1.2,93,Application Data,49338,443,1
54,3.282083,3512060521,3232281142,TCP,54,443  >  49338 [ACK] Seq=1 Ack=1351 Win=6419 Len=0,443,49338,0
55,3.282083,3512060521,3232281142,TCP,54,443  >  49338 [ACK] Seq=1 Ack=1390 Win=6419 Len=0,443,49338,0
56,3.282083,3512060521,3232281142,TLSv1.2,93,Application Data,443,49338,1
57,3.282784,3232281142,3512060521,TLSv1.2,1466,Application Data,49338,443,1
58,3.282784,3232281142,3512060521,TLSv1.2,147,Application Data,49338,443,1
59,3.289538,3512060521,3232281142,TCP,54,443  >  49338 [ACK] Seq=40 Ack=2895 Win=6430 Len=0,443,49338,0
60,3.300385,3232281142,3512060521,TLSv1.2,1453,"Application Data, Application Data",49338,443,0
61,3.309705,3512060521,3232281142,TLSv1.2,343,Application Data,443,49338,1
62,3.309705,3512060521,3232281142,TLSv1.2,108,Application Data,443,49338,1
63,3.309847,3232281142,3512060521,TCP,54,49338  >  443 [ACK] Seq=4294 Ack=383 Win=2469 Len=0,49338,443,0
64,3.310974,3512060521,3232281142,TLSv1.2,85,Application Data,443,49338,1
65,3.310974,3512060521,3232281142,TLSv1.2,93,Application Data,443,49338,1
66,3.311034,3232281142,3512060521,TCP,54,49338  >  443 [ACK] Seq=4294 Ack=453 Win=2469 Len=0,49338,443,0
67,3.311682,3232281142,3512060521,TLSv1.2,93,Application Data,49338,443,1
68,3.312555,3232281142,3512060521,TLSv1.2,89,Application Data,49338,443,1
69,3.318444,3512060521,3232281142,TCP,54,443  >  49338 [ACK] Seq=453 Ack=4368 Win=6441 Len=0,443,49338,0
70,3.335486,3512060521,3232281142,TLSv1.2,314,Application Data,443,49338,1
71,3.335486,3512060521,3232281142,TLSv1.2,118,Application Data,443,49338,1
72,3.335486,3512060521,3232281142,TLSv1.2,85,Application Data,443,49338,1
73,3.335486,3512060521,3232281142,TLSv1.2,93,Application Data,443,49338,1
74,3.335689,3232281142,3512060521,TCP,54,49338  >  443 [ACK] Seq=4368 Ack=847 Win=2467 Len=0,49338,443,0
75,3.337247,3232281142,3512060521,TLSv1.2,93,Application Data,49338,443,1
76,3.340133,3512060521,3232281142,TLSv1.2,438,Application Data,443,49338,1
77,3.340133,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
78,3.340133,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
79,3.340133,3512060521,3232281142,TLSv1.2,85,Application Data,443,49338,1
80,3.340133,3512060521,3232281142,TLSv1.2,217,Application Data,443,49338,1
81,3.340212,3232281142,3512060521,TCP,54,49338  >  443 [ACK] Seq=4407 Ack=4249 Win=2471 Len=0,49338,443,0
82,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
83,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
84,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
85,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
86,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
87,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
88,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
89,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
90,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
91,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
92,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
93,3.342493,3512060521,3232281142,TLSv1.2,1179,Application Data,443,49338,1
94,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
95,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
96,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
97,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
98,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
99,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
100,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
101,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
102,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
103,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
104,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
105,3.342493,3512060521,3232281142,TLSv1.2,1179,Application Data,443,49338,1
106,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
107,3.342493,3512060521,3232281142,TLSv1.2,1466,Application Data,443,49338,1
108,3.342493,3512060521,3232281142,TLSv1.2,638,Application Data,443,49338,1
109,3.342493,3512060521,3232281142,TLSv1.2,85,Application Data,443,49338,1
110,3.342804,3232281142,3512060521,TCP,54,49338  >  443 [ACK] Seq=4407 Ack=41002 Win=2471 Len=0,49338,443,0
111,3.347598,3512060521,3232281142,TCP,54,443  >  49338 [ACK] Seq=41002 Ack=4407 Win=6441 Len=0,443,49338,0
112,3.732052,60984449,3232281142,TLSv1.2,78,Application Data,443,49604,1
113,3.732052,60984449,3232281142,TCP,54,"443  >  49604 [FIN, ACK] Seq=25 Ack=1 Win=131 Len=0",443,49604,0
114,3.732159,3232281142,60984449,TCP,54,49604  >  443 [ACK] Seq=1 Ack=26 Win=514 Len=0,49604,443,0
116,3.850671,34740242,3232281142,TCP,54,"80  >  50590 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",80,50590,0
117,3.850671,34740242,3232281142,TCP,54,"80  >  50593 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",80,50593,0
118,3.850671,34740242,3232281142,TCP,54,"80  >  50591 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",80,50591,0
119,3.850743,3232281142,34740242,TCP,54,50590  >  80 [RST] Seq=1 Win=0 Len=0,50590,80,0
120,3.850815,3232281142,34740242,TCP,54,50593  >  80 [RST] Seq=1 Win=0 Len=0,50593,80,0
121,3.850824,3232281142,34740242,TCP,54,50591  >  80 [RST] Seq=1 Win=0 Len=0,50591,80,0
122,3.859619,34740242,3232281142,TCP,54,"80  >  50592 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",80,50592,0
123,3.859652,3232281142,34740242,TCP,54,50592  >  80 [RST] Seq=1 Win=0 Len=0,50592,80,0
124,4.362804,2817227836,3232281142,TLSv1.2,78,Application Data,443,49644,1
125,4.362804,2817227836,3232281142,TCP,54,"443  >  49644 [FIN, ACK] Seq=25 Ack=1 Win=165 Len=0",443,49644,0
126,4.362901,3232281142,2817227836,TCP,54,49644  >  443 [ACK] Seq=1 Ack=26 Win=512 Len=0,49644,443,0
127,4.495666,2817227836,3232281142,TLSv1.2,78,Application Data,443,49649,1
128,4.495666,2817227836,3232281142,TCP,54,"443  >  49649 [FIN, ACK] Seq=25 Ack=1 Win=165 Len=0",443,49649,0
129,4.495742,3232281142,2817227836,TCP,54,49649  >  443 [ACK] Seq=1 Ack=26 Win=513 Len=0,49649,443,0
130,4.540755,2817227836,3232281142,TLSv1.2,78,Application Data,443,49650,1
131,4.540755,2817227836,3232281142,TCP,54,"443  >  49650 [FIN, ACK] Seq=25 Ack=1 Win=165 Len=0",443,49650,0
132,4.541008,3232281142,2817227836,TCP,54,49650  >  443 [ACK] Seq=1 Ack=26 Win=512 Len=0,49650,443,0
133,4.727076,388301171,3232281142,TLSv1.2,85,Encrypted Alert,443,50605,0
134,4.727076,388301171,3232281142,TCP,54,"443  >  50605 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0",443,50605,0
135,4.727133,3232281142,388301171,TCP,54,50605  >  443 [RST] Seq=1 Win=0 Len=0,50605,443,0
136,4.727171,3232281142,388301171,TCP,54,50605  >  443 [RST] Seq=1 Win=0 Len=0,50605,443,0
137,4.966237,399010191,3232281142,TLSv1.2,85,Encrypted Alert,443,50604,0
138,4.966237,399010191,3232281142,TCP,54,"443  >  50604 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0",443,50604,0
139,4.966372,3232281142,399010191,TCP,54,50604  >  443 [RST] Seq=1 Win=0 Len=0,50604,443,0
140,4.966473,3232281142,399010191,TCP,54,50604  >  443 [RST] Seq=1 Win=0 Len=0,50604,443,0
144,5.69127,3232281112,4026531834,UDP,77,35247  >  15600 Len=35,35247,15600,0
146,5.957925,389063955,3232281142,TLSv1.2,85,Encrypted Alert,443,50617,0
147,5.957925,389063955,3232281142,TCP,54,"443  >  50617 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0",443,50617,0
148,5.958059,3232281142,389063955,TCP,54,50617  >  443 [RST] Seq=1 Win=0 Len=0,50617,443,0
149,5.958166,3232281142,389063955,TCP,54,50617  >  443 [RST] Seq=1 Win=0 Len=0,50617,443,0
150,6.039241,3232281142,3512060511,TLSv1.2,118,Application Data,49342,443,1
151,6.03932,3232281142,3512060511,TLSv1.2,93,Application Data,49342,443,1
152,6.039341,3232281142,3512060511,TLSv1.2,165,Application Data,49342,443,1
154,6.040366,3232281142,3232281089,TCP,66,49760  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49760,53,0
155,6.040596,3232281142,3232281089,TCP,66,49761  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49761,53,0
156,6.040789,3232281142,3232281089,TCP,66,49762  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49762,53,0
157,6.040909,3232281142,3232281089,TCP,66,49763  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49763,53,0
158,6.041075,3232281142,3232281089,TCP,66,49764  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49764,53,0
159,6.041179,3232281142,3232281089,TCP,66,49765  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49765,53,0
160,6.043612,3232281142,2817227836,TCP,54,"49649  >  443 [FIN, ACK] Seq=1 Ack=26 Win=513 Len=0",49649,443,0
161,6.043663,3232281142,2817227836,TCP,54,"49649  >  443 [RST, ACK] Seq=2 Ack=26 Win=0 Len=0",49649,443,0
162,6.043787,3232281142,60984449,TCP,54,"49604  >  443 [FIN, ACK] Seq=1 Ack=26 Win=514 Len=0",49604,443,0
163,6.043853,3232281142,2817227836,TCP,54,"49650  >  443 [FIN, ACK] Seq=1 Ack=26 Win=512 Len=0",49650,443,0
164,6.043874,3232281142,2817227836,TCP,54,"49650  >  443 [RST, ACK] Seq=2 Ack=26 Win=0 Len=0",49650,443,0
165,6.043997,3232281142,2817227836,TCP,54,"49644  >  443 [FIN, ACK] Seq=1 Ack=26 Win=512 Len=0",49644,443,0
166,6.044017,3232281142,2817227836,TCP,54,"49644  >  443 [RST, ACK] Seq=2 Ack=26 Win=0 Len=0",49644,443,0
167,6.044229,3232281142,2902291547,TLSv1.2,132,Application Data,49399,443,1
168,6.044263,3232281142,2902291547,TLSv1.2,93,Application Data,49399,443,1
169,6.044282,3232281142,2902291547,TLSv1.2,277,Application Data,49399,443,1
170,6.045726,3232281089,3232281142,TCP,66,"53  >  49760 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49760,0
171,6.045726,3232281089,3232281142,TCP,66,"53  >  49761 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49761,0
172,6.045726,3232281089,3232281142,TCP,66,"53  >  49762 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49762,0
173,6.045726,3232281089,3232281142,TCP,66,"53  >  49763 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49763,0
174,6.045726,3232281089,3232281142,TCP,66,"53  >  49764 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49764,0
175,6.045726,3232281089,3232281142,TCP,66,"53  >  49765 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49765,0
176,6.046309,3232281142,3232281089,TCP,54,49760  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49760,53,0
