number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
1,443,53342,6,66,0,0,66,0,0,0
2,443,53342,6,335,269.00000000,0.00055814,200.50000000,269.00000000,0.00055814,1
3,53342,443,6,66,134.50000000,0.00007391,66,0,0,0
4,53322,22,6,190,34.33333333,1.08726788,190,0,0,0
5,22,53322,6,66,98.25000000,0.01015401,66,0,0,0
6,53332,443,6,1466,1321.40000000,0.00044322,1466,0,0,0
7,53332,443,6,1466,1101.16666667,0.00000596,1466.00000000,0.00000000,0.00000596,0
8,53332,443,6,292,230.14285714,0.00006485,1074.66666667,1174.00000000,0.00006485,1
9,53332,443,6,191,302.37500000,0.00007915,853.75000000,883.66666667,0.00007915,1
10,443,53332,6,66,393.77777778,0.00679088,66,0,0,0
11,443,53332,6,66,354.40000000,0.00019312,66.00000000,0.00000000,0.00019312,0
12,443,53332,6,66,322.18181818,0.00000095,66.00000000,0.00000000,0.00000095,0
13,443,53332,6,66,295.33333333,0.00000095,66.00000000,0.00000000,0.00000095,0
14,443,53332,6,132,206.61538462,0.19404292,79.20000000,66.00000000,0.19404292,1
15,443,53332,6,335,11.14285714,0.00000215,121.83333333,255.80000000,0.00000215,1
16,443,53332,6,214,110.60000000,0.00000095,135.00000000,92.16666667,0.00000095,1
17,53332,443,6,66,251.68750000,0.00013208,696.20000000,787.75000000,0.20116401,0
18,443,53332,6,105,197.88235294,0.31126881,131.25000000,30.00000000,0.31140089,1
19,53332,443,6,66,225.88888889,0.00013304,591.16666667,630.20000000,0.31140184,0
20,53332,443,6,105,175.00000000,0.00019002,521.71428571,486.16666667,0.00019002,1
21,443,53332,6,66,205.25000000,0.00633597,124.00000000,65.25000000,0.00665903,0
22,53545,443,6,54,207.47619048,0.47524500,54,0,0,0
23,443,53545,6,60,192.04545455,0.00989413,60,0,0,0
24,443,53545,6,60,183.69565217,0.00000405,60.00000000,0.00000000,0.00000405,0
25,53545,443,6,54,182.04166667,0.00049877,54.00000000,0.00000000,0.01039696,0
26,62077,53,17,83,145.76000000,0.02176118,83,0,0,0
27,53341,443,6,120,103.15384615,0.56633687,120,0,0,1
28,443,53341,6,66,153.33333333,0.01748896,66,0,0,0
29,443,53341,6,99,114.85714286,0.08828306,82.50000000,33.00000000,0.08828306,1
30,53341,443,6,66,143.89655172,0.00031209,93.00000000,54.00000000,0.10608411,0
31,443,56974,17,103,102.10000000,0.08447194,103,0,0,0
32,443,56974,17,79,122.80645161,0.00000310,91.00000000,24.00000000,0.00000310,0
33,443,56974,17,217,19.03125000,0.00032401,133.00000000,126.00000000,0.00032401,0
34,56974,443,17,75,123.54545455,0.00103092,75,0,0,0
35,56974,443,17,414,219.08823529,0.02033806,244.50000000,339.00000000,0.02033806,0
36,443,56974,17,72,129.17142857,0.00534797,117.75000000,61.00000000,0.02671695,0
37,56974,443,17,73,124.58333333,0.00051308,187.33333333,171.50000000,0.00586104,0
38,22,53322,6,150,44.21621622,0.03949499,108.00000000,84.00000000,1.85103321,0
39,53322,22,6,66,127.05263158,0.00026894,128.00000000,124.00000000,1.86145616,0
40,443,56974,17,147,42.79487179,0.06966901,123.60000000,29.25000000,0.10994601,0
41,56974,443,17,79,109.72500000,0.00125098,160.25000000,108.33333333,0.11068392,0
42,443,56974,17,69,117.04878049,0.03017998,114.50000000,54.60000000,0.03143096,0
43,53340,443,6,94,89.26190476,0.72166109,94,0,0,1
44,443,53340,6,66,115.18604651,0.01161385,66,0,0,0
45,443,53340,6,90,88.56818182,0.00874114,78.00000000,24.00000000,0.00874114,1
46,53340,443,6,66,110.60000000,0.00016093,80.00000000,28.00000000,0.02051592,0
47,53336,443,6,290,115.80434783,0.16657209,290,0,0,1
48,443,53336,6,66,110.65957447,0.03744388,66,0,0,0
49,443,53336,6,1294,1119.64583333,0.09619594,680.00000000,1228.00000000,0.09619594,0
50,443,53336,6,518,320.79591837,0.00000405,626.00000000,162.00000000,0.00000405,1
51,53336,443,6,66,137.62000000,0.00031710,178.00000000,224.00000000,0.13396096,0
52,53522,443,6,105,95.92156863,0.59097481,105,0,0,1
53,53522,443,6,90,109.07692308,0.00067616,97.50000000,15.00000000,0.00067616,1
54,53522,443,6,66,131.01886792,0.00005507,87.00000000,31.50000000,0.00005507,0
55,443,53522,6,66,128.59259259,0.00777197,66,0,0,0
56,443,53522,6,66,126.25454545,0.00006580,66.00000000,0.00000000,0.00006580,0
