number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
1,5353,5353,17,152,0,0,0,0,0,0
4,51282,443,6,1466,1314.00000000,0.06198406,0,0,0,0
5,51282,443,6,1464,655.00000000,0.00000000,1465.00000000,2.00000000,0.00000000,1
6,51282,443,6,896,131.33333333,0.00007200,1275.33333333,569.00000000,0.00007200,1
7,443,51282,6,54,940.50000000,0.00621891,0,0,0,0
8,443,51282,6,54,752.40000000,0.00542998,54.00000000,0.00000000,0.00542998,0
9,443,51282,6,612,69.00000000,0.04224014,240.00000000,558.00000000,0.04224014,1
10,443,51282,6,255,416.14285714,0.00000000,243.75000000,15.00000000,0.00000000,1
11,443,51282,6,132,487.12500000,0.00000000,221.40000000,111.75000000,0.00000000,1
12,443,51282,6,93,472.00000000,0.00000000,200.00000000,128.40000000,0.00000000,1
13,51282,443,6,54,463.80000000,0.00021100,970.00000000,1221.33333333,0.05410004,0
14,51282,443,6,93,382.63636364,0.00228786,794.60000000,877.00000000,0.00228786,1
15,443,51282,6,54,389.75000000,0.00619102,179.14285714,146.00000000,0.00868988,0
17,49496,443,6,55,358.76923077,1.16058111,0,0,0,0
18,443,49496,6,66,322.14285714,0.00674701,0,0,0,0
20,43096,15600,17,77,289.66666667,0.43322992,0,0,0,0
23,51282,443,6,1466,1117.43750000,0.34461188,906.50000000,671.40000000,1.95136094,0
24,51282,443,6,1466,1051.70588235,0.00000000,986.42857143,559.50000000,0.00000000,0
25,51282,443,6,56,416.72222222,0.00000000,870.12500000,930.42857143,0.00000000,1
26,51282,443,6,838,387.21052632,0.00007010,866.55555556,32.12500000,0.00007010,1
27,51326,443,6,150,320.15000000,0.00040293,0,0,0,1
28,51326,443,6,93,361.90476190,0.00003314,121.50000000,57.00000000,0.00003314,1
29,443,51326,6,54,384.45454545,0.00542784,0,0,0,0
30,443,51326,6,54,367.73913043,0.00000000,54.00000000,0.00000000,0.00000000,0
31,443,51326,6,93,313.41666667,0.00000000,67.00000000,39.00000000,0.00000000,1
32,443,51282,6,54,339.88000000,0.00000000,163.50000000,125.14285714,1.95110393,0
33,443,51282,6,54,326.80769231,0.00000000,151.33333333,109.50000000,0.00000000,0
34,443,51282,6,54,314.70370370,0.00000000,141.60000000,97.33333333,0.00000000,0
35,443,51282,6,54,303.46428571,0.00000000,133.63636364,87.60000000,0.00000000,0
36,443,51326,6,150,197.00000000,0.00219917,87.75000000,83.00000000,0.00219917,1
37,443,51326,6,128,212.43333333,0.00000000,95.80000000,40.25000000,0.00000000,1
38,443,51326,6,85,248.58064516,0.00000000,94.00000000,10.80000000,0.00000000,1
39,443,51326,6,93,232.81250000,0.00000000,93.85714286,1.00000000,0.00000000,1
40,51326,443,6,54,264.75757576,0.00005603,99.00000000,67.50000000,0.00768304,0
41,51326,443,6,93,217.97058824,0.00031781,97.50000000,6.00000000,0.00031781,1
42,51326,443,6,89,215.74285714,0.00025105,95.80000000,8.50000000,0.00025105,1
43,443,51326,6,54,244.75000000,0.00588799,88.87500000,39.85714286,0.00651288,0
44,443,51282,6,592,299.86486486,0.01412702,171.83333333,458.36363636,0.02283907,1
45,443,51282,6,421,120.97368421,0.00000000,191.00000000,249.16666667,0.00000000,1
46,443,51282,6,298,5.12820513,0.00000000,198.64285714,107.00000000,0.00000000,1
47,443,51282,6,93,210.00000000,0.00000000,191.60000000,105.64285714,0.00000000,1
48,51282,443,6,54,243.87804878,0.00005293,785.30000000,812.55555556,0.02875590,0
49,51282,443,6,93,199.07142857,0.00149703,722.36363636,692.30000000,0.00149703,1
50,443,51282,6,54,233.44186047,0.01024413,183.00000000,137.60000000,0.01179409,0
54,51126,443,6,154,128.13636364,0.94732785,0,0,0,1
55,51126,443,6,93,186.28888889,0.00007200,123.50000000,61.00000000,0.00007200,1
56,443,51126,6,54,221.23913043,0.00682020,0,0,0,0
57,443,51126,6,54,216.53191489,0.00000000,54.00000000,0.00000000,0.00000000,0
58,443,51126,6,93,173.02083333,0.00000000,67.00000000,39.00000000,0.00000000,1
59,443,51126,6,126,136.48979592,0.00252700,81.75000000,59.00000000,0.00252700,1
60,443,51126,6,128,131.76000000,0.00000000,91.00000000,46.25000000,0.00000000,1
61,443,51126,6,85,172.17647059,0.00000000,90.00000000,6.00000000,0.00000000,1
62,443,51126,6,93,160.86538462,0.00000000,90.42857143,3.00000000,0.00000000,1
63,51126,443,6,54,196.83018868,0.00007200,100.33333333,69.50000000,0.00941920,0
64,51126,443,6,89,158.18518519,0.00065684,97.50000000,11.33333333,0.00065684,1
65,51126,443,6,93,151.30909091,0.00005603,96.60000000,4.50000000,0.00005603,1
66,443,51126,6,54,187.60714286,0.00605297,85.87500000,36.42857143,0.00683784,0
67,51503,443,6,1403,1164.68421053,0.19938993,0,0,0,0
68,51503,443,6,93,165.39655172,0.00006700,748.00000000,1310.00000000,0.00006700,1
69,443,51503,6,54,201.59322034,0.01657820,0,0,0,0
70,443,51503,6,54,198.23333333,0.00000000,54.00000000,0.00000000,0.00000000,0
71,443,51503,6,93,155.98360656,0.00000000,67.00000000,39.00000000,0.00000000,1
72,51503,443,6,1466,1219.53225806,0.01013589,987.33333333,718.00000000,0.02671409,1
73,51503,443,6,147,118.82539683,0.00000000,777.25000000,840.33333333,0.00000000,1
74,443,51503,6,54,209.96875000,0.00596309,63.75000000,13.00000000,0.01609898,0
75,443,51503,6,345,84.26153846,0.00578904,120.00000000,281.25000000,0.00578904,1
76,443,51503,6,108,154.01515152,0.00000000,118.00000000,12.00000000,0.00000000,1
77,443,51503,6,85,174.71641791,0.00000000,113.28571429,33.00000000,0.00000000,1
78,443,51503,6,93,164.14705882,0.00000000,110.75000000,20.28571429,0.00000000,1
79,51503,443,6,54,200.76811594,0.00012493,632.60000000,723.25000000,0.01187706,0
80,51503,443,6,93,158.90000000,0.00155687,542.66666667,539.60000000,0.00155687,1
81,51503,443,6,89,160.66197183,0.00094604,477.85714286,453.66666667,0.00094604,1
82,51503,443,6,1435,1187.56944444,0.00453115,597.50000000,957.14285714,0.00453115,0
83,443,51503,6,54,209.69863014,0.00094581,104.44444444,56.75000000,0.00810480,0
84,443,51503,6,54,206.86486486,0.01074815,99.40000000,50.44444444,0.01074815,0
85,443,51503,6,319,60.89333333,0.02589202,119.36363636,219.60000000,0.02589202,1
86,443,51503,6,118,140.90789474,0.00000000,119.25000000,1.36363636,0.00000000,1
87,443,51503,6,85,172.07792208,0.00000000,116.61538462,34.25000000,0.00000000,1
88,51503,443,6,54,200.87179487,0.00012589,537.11111111,543.50000000,0.03771186,0
89,443,51503,6,93,159.32911392,0.00112915,114.92857143,23.61538462,0.00125504,1
90,51503,443,6,54,196.33750000,0.00005293,488.80000000,483.11111111,0.00118208,0
91,51503,443,6,93,154.91358025,0.00043106,452.81818182,395.80000000,0.00043106,1
92,443,51503,6,327,80.97560976,0.01272202,129.06666667,212.07142857,0.01320601,1
93,443,51503,6,1466,1219.00000000,0.00000000,212.62500000,1336.93333333,0.00000000,1
94,443,51503,6,1466,1204.48809524,0.00000000,286.35294118,1253.37500000,0.00000000,1
95,443,51503,6,110,165.68235294,0.00000000,276.55555556,176.35294118,0.00000000,1
96,443,51503,6,1466,1192.24418605,0.00000000,339.15789474,1189.44444444,0.00000000,1
97,443,51503,6,1466,1178.54022989,0.00000000,395.50000000,1126.84210526,0.00000000,1
98,443,51503,6,1466,1165.14772727,0.00000000,446.47619048,1070.50000000,0.00000000,1
99,443,51503,6,1466,1152.05617978,0.00000000,492.81818182,1019.52380952,0.00000000,1
100,443,51503,6,1466,1139.25555556,0.00000000,535.13043478,973.18181818,0.00000000,1
101,443,51503,6,1466,1126.73626374,0.00000000,573.91666667,930.86956522,0.00000000,1
102,443,51503,6,1466,1114.48913043,0.00000000,609.60000000,892.08333333,0.00000000,1
103,443,51503,6,1466,1102.50537634,0.00000000,642.53846154,856.40000000,0.00000000,1
104,443,51503,6,1466,1090.77659574,0.00000000,673.03703704,823.46153846,0.00000000,1
105,443,51503,6,1466,1079.29473684,0.00000000,701.35714286,792.96296296,0.00000000,1
106,443,51503,6,1466,1068.05208333,0.00000000,727.72413793,764.64285714,0.00000000,1
107,443,51503,6,1320,911.04123711,0.00000000,747.46666667,592.27586207,0.00000000,1
108,443,51503,6,1466,1047.74489796,0.00000000,770.64516129,718.53333333,0.00000000,1
